1948 INVERSIONS, SICAV, S.A.;9642;ES0109642035
1955 INVERSIONES,SICAV,S.A.;5157;ES0105157038
2002 GLOBAL FLECHA,SICAV,S.A.;9654;ES0109654030
3-R VALORES,SICAV,S.A.;84834;ES0184834036
6V DE VALORES MOBILIARIOS,SICAV,S.A.;5158;ES0105158036
A.M.J. EVALUATION SICAV, S.A.;62941;ES0162941035
AAMM DE VALORES,SICAV,S.A.;84836;ES0184836031
AB CEUTA, S.A., SICAV;5166;ES0105166039
ABAE VALORES,SICAV,S.A.;9653;ES0109653032
ABANDO EQUITIES,SICAV,S.A.;9650;ES0109650038
ABARCAPITAL INVERSIONES,SICAV,S.A.;9651;ES0109651036
ABDUIT 2002,SICAV,S.A.;90053;ES0190053035
ABEDUL 1.999,S.A., SICAV;5017;ES0105017034
ABELLA CARTERA, S.I.C.A.V., S.A.;5018;ES0105018032
ABENGOA, S.A.;5200;ES0105200416
ABENLENDA INVERSIONES,SICAV,S.A.;5191;ES0105191037
ABENOJAR INVERSIONES, SICAV,S.A.;5201;ES0105201034
ABERTIS INFRAESTRUCTURAS, S.A.;11845;ES0111845014
ABILITY, SICAV, S.A.;5203;ES0105203030
ABISAL 72,SICAV,S.A.;5202;ES0105202032
ABLAÑA INVEST, SICAV, S.A.;5204;ES0105204038
ABM MURCIA 06, SICAV, S.A.;5205;ES0105205035
ABPURA INVERSIONS, SICAV, S.A.;5261;ES0105261038
ABRE DE INVERSIONES, SICAV;5231;ES0105231031
ABRIL 28 INVESTMENT, SICAV;57932;ES0157932031
ABSIDE CAPITAL, SICAV, S.A.;15793;ES0157933039
ABUVILLA INVERSIONES,SICAV,S.A.;5232;ES0105232039
ACACIA BONOMIX, SICAV,S.A.;5301;ES0105301032
ACACIA PREMIUM, SICAV,S.A.;5302;ES0105302030
ACANTO DE INVERSIONES,SICAV,S.A.;5311;ES0105311031
ACAPITAL RV, SICAV, S.A.;14493;ES0114493036
ACATES SISAPON, SICAV, S.A.;76200;ES0176200030
ACCION DJ EUROSTOXX 50, ETF, F.I.;5321;ES0105321030
ACCION FTSE LATIBEX BRASIL ETF;5322;ES0105322004
ACCION FTSE LATIBEX TOP ETF;5304;ES0105304002
ACCION IBEX 35 ETF,F.I.;5336;ES0105336038
ACCION IBEX TOP DIVIDENDO ETF F.I.;5337;ES0105337002
ACCIONA,S.A.;25220;ES0125220311
ACCIONES,CUPONES Y OBL.SEGOVIANAS;5345;ES0105345138
ACE GLOBAL, SICAV,S.A.;5349;ES0105349031
ACEITELBATAN, SICAV, S.A.;38169;ES0138169034
ACENT EUROPA INVERSIONES, SICAV, S.A.;5596;ES0105596037
ACERINOX, S.A.;32105;ES0132105018
ACERVO VALORES, SICAV, S.A.;5771;ES0105771036
ACONCAGUA 6962, SICAV, S.A.;5787;ES0105787032
ACOPA INVERSIONES,SICAV,S.A.;5781;ES0105781035
ACQUA GESTION GLOBAL, SICAV,S.A.;5811;ES0105811030
ACROPOLIS 2001,S.A. SICAV;5832;ES0105832036
ACS,ACTIVIDADES DE CONST.Y SERVICIOS S.A;67050;ES0167050915
ACTAD INVERSIONES,SICAV,S.A.;67051;ES0167051038
ACTEDADI, SICAV, S.A.;67052;ES0167052036
ACTIMAAF ACCIONES IBERICA, S.A., SICAV;5833;ES0105833034
ACTIUM DE INVERSIONES,SICAV,S.A.;5822;ES0105822037
ACTIVILLO, SICAV,S.A.;5834;ES0105834032
ACTIVOS AKRA LEUKA,SICAV,S.A.;5823;ES0105823035
ACTIVOS CLYS,SICAV,S.A.;5861;ES0105861035
ACTIVOS LUCENTUM,SICAV,S.A.;5882;ES0105882031
ACTIVOS MOBILIARIOS CAHISPA,SICAV;67161;ES0167161035
ACTUACIONES ACTIVIDADES E INV.I., S.A.;6585;ES0106585013
ACTUACIONES BURSATILES,SICAV,S.A.;5891;ES0105891032
ACUARIO 98, S.A., SICAV;5896;ES0105896031
ACUEDUCTO 2002,SICAV,S.A.;5927;ES0105927034
ACHERFOR INVERSIONES,SICAV,S.A.;5786;ES0105786034
ADABAR INVERSIONES, SICAV,S.A.;5958;ES0105958039
ADAGALIA INVERSIONES,SICAV,S.A.;5956;ES0105956033
ADDITION SICAV, S.A.;5966;ES0105966032
ADNO INVERSIONES,SICAV,S.A.;5992;ES0105992038
ADOLFO DOMINGUEZ, S.A.;6000;ES0106000013
ADORO 99, SICAV, S.A.;5995;ES0105995031
ADRASAM INVERSION, SICAV;6001;ES0106001037
ADRASARO, SICAV, S.A.;5993;ES0105993036
ADSVARA INVERSIONES,SICAV,S.A.;6003;ES0106003033
AECYSSA INVERSIONES 2007, SICAV, S.A.;6004;ES0106004031
AFI BONOS MEDIO PLAZO EURO ETF FI;6061;ES0106061007
AFI MONETARIO EURO ETF FI;6078;ES0106078001
AFIRMA GRUPO INMOBILIARIO, S.A.;10944;ES0110944016
AFP VISION ACTIVA 2007, SICAV, S.A.;6079;ES0106079033
AFYON INVESTMENTS, SICAV, S.A.;6086;ES0106086038
AGALIA PATRIMONIO, SICAV, S.A.;52849;ES0152849032
AGARUS INVERSIONES,SICAV,S.A.;6101;ES0106101035
AGATA, SICAV;6134;ES0106134036
AGAVE ATTENUATA DE INVERSIONES,SICAV, S.;6135;ES0106135033
AGENDA DE INVERSIONES,S.A. SICAV;6181;ES0106181037
AGISTER1, SICAV, S.A.;81561;ES0181561038
AGIUM INVESTIUM,SICAV,S.A.;6196;ES0106196035
AGROCARTERA, SICAV, S.A.;6544;ES0106544036
AGROFRUSE, AGRICOLA DE F. SECOS, S.A.;6325;ES0106325014
AGROPE SANFER, SICAV, S.A.;6571;ES0106571039
AGROPEM DE INVERSIONES,SICAV,S.A.;6572;ES0106572037
AGUAZUL DE INVERSIONES,SICAV,S.A.;7291;ES0107291033
AGUILON DE GATERUELA Y VANTAROS, SICAV;7261;ES0107261036
AHORRIA, SICAV, S.A.;15849;ES0115849038
AHORRO BURSATIL, SICAV, S.A.;7508;ES0107508030
AHORRO CORPORACION FINANCIERA,S.A.S.V.B.;7471;
AHORRO FAMILIAR, S.A.;7511;ES0107511018
AHORROACTIVO,SICAV,S.A.;7494;ES0107494033
AHORROCAPITAL, SICAV, S.A.;7501;ES0107501035
AIRESE,SICAV,S.A.;7476;ES0107476030
AIRUN-INVERSIONES,SICAV,S.A.;7536;ES0107536031
AKELA INVERSIONES, SICAV, S.A.;68721;ES0168721035
AKENATON INVERSIONES, SICAV, S.A.;7572;ES0107572036
AKORG FINANCIERA,SICAV,S.A.;7586;ES0107586036
ALADINO DE INVERSIONES,SICAV,S.A.;7587;ES0107587034
ALALAY INVERSIONES,SICAV,S.A.;7582;ES0107582035
